bill_payer_account_id,line_item_usage_account_id,product_product_name,line_item_usage_type,line_item_line_item_type,reservation_reservation_a_r_n,line_item_unblended_rate,reservation_start_time,reservation_end_time,bill_billing_period_start_date,bill_billing_period_end_date,reservation_total_reserved_normalized_units,reservation_unused_normalized_unit_quantity,bill_billing_period_total_hours,reservation_purchase_term,bill_billing_period_month,pricing_offering_class,pricing_purchase_option,reservation_utilization_cost,reservation_wastage_cost
836060457634,836060457634,Amazon Elastic Compute Cloud,HeavyUsage:t2.micro,RIFee,arn:aws:ec2:us-east-1:836060457634:reserved-instances/2dbc59ec-6e3c-404a-b6c3-ec308c3d56fd,0.0118000000,2018-10-09 21:40:47+00:00,2019-10-09 21:40:46+00:00,2018-10-01 00:00:00+00:00,2018-11-01 00:00:00+00:00,265.16013900000,167.660139,744.0,1.0,10,standard,No Upfront,3.1288896402,1.9783896401999999
836060457634,836060457634,Amazon Elastic Compute Cloud,HeavyUsage:c4.large,RIFee,arn:aws:ec2:us-east-1:836060457634:reserved-instances/3a2944f2-fbdc-4f9a-86f7-4b83dc6e058a,0.0300000000,2018-04-24 00:34:01+00:00,2019-04-24 00:34:00+00:00,2018-12-01 00:00:00+00:00,2019-01-01 00:00:00+00:00,2976.00000000000,2976.0,744.0,1.0,12,,,89.28,89.28
836060457634,836060457634,Amazon Elastic Compute Cloud,HeavyUsage:c4.large,RIFee,arn:aws:ec2:us-east-1:836060457634:reserved-instances/3a2944f2-fbdc-4f9a-86f7-4b83dc6e058a,0.0300000000,2018-04-24 00:34:01+00:00,2019-04-24 00:34:00+00:00,2018-11-01 00:00:00+00:00,2018-12-01 00:00:00+00:00,2880.00000000000,2880.0,720.0,1.0,11,,,86.39999999999999,86.39999999999999
836060457634,836060457634,Amazon Elastic Compute Cloud,HeavyUsage:c4.large,RIFee,arn:aws:ec2:us-east-1:836060457634:reserved-instances/3a2944f2-fbdc-4f9a-86f7-4b83dc6e058a,0.0300000000,2018-04-24 00:34:01+00:00,2019-04-24 00:34:00+00:00,2018-10-01 00:00:00+00:00,2018-11-01 00:00:00+00:00,2976.00000000000,2976.0,744.0,1.0,10,,,89.28,89.28
836060457634,836060457634,Amazon Elastic Compute Cloud,HeavyUsage:t2.nano,RIFee,arn:aws:ec2:us-east-1:836060457634:reserved-instances/766cbd37-5005-4d0e-a7bc-a1f7a79c3865,0.0017000000,2018-04-03 01:22:45+00:00,2019-04-03 01:22:44+00:00,2018-12-01 00:00:00+00:00,2019-01-01 00:00:00+00:00,372.000000000000,0.0,744.0,1.0,12,standard,Partial Upfront,0.6324,0.0
836060457634,836060457634,Amazon Elastic Compute Cloud,HeavyUsage:t2.nano,RIFee,arn:aws:ec2:us-east-1:836060457634:reserved-instances/766cbd37-5005-4d0e-a7bc-a1f7a79c3865,0.0017000000,2018-04-03 01:22:45+00:00,2019-04-03 01:22:44+00:00,2018-11-01 00:00:00+00:00,2018-12-01 00:00:00+00:00,360.000000000000,0.0,720.0,1.0,11,standard,Partial Upfront,0.612,0.0
836060457634,836060457634,Amazon Elastic Compute Cloud,HeavyUsage:t2.nano,RIFee,arn:aws:ec2:us-east-1:836060457634:reserved-instances/766cbd37-5005-4d0e-a7bc-a1f7a79c3865,0.0017000000,2018-04-03 01:22:45+00:00,2019-04-03 01:22:44+00:00,2018-10-01 00:00:00+00:00,2018-11-01 00:00:00+00:00,372.000000000000,0.0,744.0,1.0,10,standard,Partial Upfront,0.6324,0.0
836060457634,836060457634,Amazon Elastic Compute Cloud,HeavyUsage:t2.micro,RIFee,arn:aws:ec2:us-east-1:836060457634:reserved-instances/9eb89604-e4b9-41eb-b46d-2b178bc4a397,0.0034000000,2018-04-03 01:21:13+00:00,2019-04-03 01:21:12+00:00,2018-12-01 00:00:00+00:00,2019-01-01 00:00:00+00:00,1116.00000000000,0.0,744.0,1.0,12,standard,Partial Upfront,3.7944,0.0
836060457634,836060457634,Amazon Elastic Compute Cloud,HeavyUsage:t2.micro,RIFee,arn:aws:ec2:us-east-1:836060457634:reserved-instances/9eb89604-e4b9-41eb-b46d-2b178bc4a397,0.0034000000,2018-04-03 01:21:13+00:00,2019-04-03 01:21:12+00:00,2018-11-01 00:00:00+00:00,2018-12-01 00:00:00+00:00,1080.00000000000,0.0,720.0,1.0,11,standard,Partial Upfront,3.6719999999999997,0.0
836060457634,836060457634,Amazon Elastic Compute Cloud,HeavyUsage:t2.micro,RIFee,arn:aws:ec2:us-east-1:836060457634:reserved-instances/9eb89604-e4b9-41eb-b46d-2b178bc4a397,0.0034000000,2018-04-03 01:21:13+00:00,2019-04-03 01:21:12+00:00,2018-10-01 00:00:00+00:00,2018-11-01 00:00:00+00:00,1116.00000000000,0.0,744.0,1.0,10,standard,Partial Upfront,3.7944,0.0
836060457634,836060457634,Amazon Elastic Compute Cloud,HeavyUsage:t2.micro,RIFee,arn:aws:ec2:us-east-1:836060457634:reserved-instances/c1a6599c-87a4-4c87-ad72-67dd9b01f1e3,0.0072000000,2018-08-13 18:13:55+00:00,2019-08-13 18:13:54+00:00,2018-12-01 00:00:00+00:00,2019-01-01 00:00:00+00:00,372.00000000000,0.0,744.0,1.0,12,standard,No Upfront,2.6784,0.0
836060457634,836060457634,Amazon Elastic Compute Cloud,HeavyUsage:t2.micro,RIFee,arn:aws:ec2:us-east-1:836060457634:reserved-instances/c1a6599c-87a4-4c87-ad72-67dd9b01f1e3,0.0072000000,2018-08-13 18:13:55+00:00,2019-08-13 18:13:54+00:00,2018-11-01 00:00:00+00:00,2018-12-01 00:00:00+00:00,360.00000000000,0.0,720.0,1.0,11,standard,No Upfront,2.592,0.0
836060457634,836060457634,Amazon Elastic Compute Cloud,HeavyUsage:t2.micro,RIFee,arn:aws:ec2:us-east-1:836060457634:reserved-instances/c1a6599c-87a4-4c87-ad72-67dd9b01f1e3,0.0072000000,2018-08-13 18:13:55+00:00,2019-08-13 18:13:54+00:00,2018-10-01 00:00:00+00:00,2018-11-01 00:00:00+00:00,372.00000000000,0.0,744.0,1.0,10,standard,No Upfront,2.6784,0.0
836060457634,836060457634,Amazon Elastic Compute Cloud,HeavyUsage:m5.large,RIFee,arn:aws:ec2:us-east-1:836060457634:reserved-instances/e5d82234-6933-4412-9f36-c9fcca2a5ce1,0.0750000000,2018-04-03 01:21:13+00:00,2019-04-03 01:21:12+00:00,2018-12-01 00:00:00+00:00,2019-01-01 00:00:00+00:00,2976.00000000000,8.0,744.0,1.0,12,standard,Partial Upfront,223.2,0.6
836060457634,836060457634,Amazon Elastic Compute Cloud,HeavyUsage:m5.large,RIFee,arn:aws:ec2:us-east-1:836060457634:reserved-instances/e5d82234-6933-4412-9f36-c9fcca2a5ce1,0.0750000000,2018-04-03 01:21:13+00:00,2019-04-03 01:21:12+00:00,2018-11-01 00:00:00+00:00,2018-12-01 00:00:00+00:00,2880.00000000000,0.0,720.0,1.0,11,standard,Partial Upfront,216.0,0.0
836060457634,836060457634,Amazon Elastic Compute Cloud,HeavyUsage:m5.large,RIFee,arn:aws:ec2:us-east-1:836060457634:reserved-instances/e5d82234-6933-4412-9f36-c9fcca2a5ce1,0.0750000000,2018-04-03 01:21:13+00:00,2019-04-03 01:21:12+00:00,2018-10-01 00:00:00+00:00,2018-11-01 00:00:00+00:00,2976.00000000000,0.0,744.0,1.0,10,standard,Partial Upfront,223.2,0.0
