line_item_resource_id,bill_payer_account_id,product_product_name,line_item_product_code,product_region,line_item_usage_type,product_instance_type_family,product_instance_type,line_item_operation,line_item_line_item_type,line_item_normalization_factor,line_item_usage_amount,line_item_unblended_cost,line_item_normalized_usage_amount
i-08ac949d7c17a9b8c,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.996111,8,3.9980555
i-08c212420feb6b864,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.989167,8,3.9945835
i-091f18c96a08cecfa,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.988889,8,3.9944445
i-09216b1a8fefa5564,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,0.029444,1,0.014722
i-09539a821f7beffef,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t3.micro,t3,t3.micro,RunInstances:0002,Usage,0.5,1.0,1,0.5
i-0964ec59109bd99ff,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.990556,8,3.995278
i-09676b3839354c8ae,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:m5.large,m5,m5.large,RunInstances:0002,Usage,4.0,1316.0,1316,5264.0
i-0975e68f3c798d172,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.985278,8,3.992639
i-0998b3ef0aee97ad7,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.9877780000000005,8,3.9938890000000002
i-09bf48a2d8914e956,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.997778,8,3.998889
